id	name	doc	is_pii	langs	contexts	translations.ru.name	translations.ru.doc	links.url	links.type
swiftcode	Bank SWIFT code (ISO 9362)	ISO 9362 defines a standard format of Business Identifier Codes (also known as SWIFT-BIC, BIC, SWIFT ID or SWIFT code) approved by the International Organization for Standardization (ISO).	False	ru	finances			https://en.wikipedia.org/wiki/ISO_9362	wikipedia
time	Time	Time of the day, like 12:00 or 10PM or 11:05	False	common,ru	datetime				
timerange	Time range	Range between two points of time, like 8:00-21:00 or 8:00AM-1:00PM	False	common	datetime				
timestamp	Digital timestamp (Unix time)	Digital timestamp defined as Unix Time. It is a system for describing a point in time. It is the number of seconds that have elapsed since the Unix epoch, excluding leap seconds.	False	common	datetime			https://en.wikipedia.org/wiki/Unix_time	wikipedia
timezone	Time zone	A time zone is an area that observes a uniform standard time for legal, commercial and social purposes	False	common	datetime			https://en.wikipedia.org/wiki/Time_zone	wikipedia
tnved	Russian TNVED code (product code)	TN VED is a Russian classifier used to identify product groups for customs purposes and international trade statistics.	False	ru	common	Код ТНВЭД	Товарная номенклатура внешнеэкономической деятельности Евразийского экономического союза		
tofkcode	Russian Federal treasury division code	Unique id of the Russian Federal treasury division.	False	ru	government	Код территориального управления Федерального казначейства РФ	Код территориального управления Федерального казначейства РФ. Синхронизовано с наименованием территориального управления, ведомственный справочник.		
tofkname	Russian Federal treasury division name	Name of the Russian Federal treasury division	False	ru	government	Наименование территориального управления Федерального казначейства РФ	Наименование территориального управления Федерального казначейства РФ. Синхронизовано с кодом территориального управления, ведомственный справочник.		
udkindex	Russian bibliographic index (UDK)	Russian bibliographic classifier (UDK)	True	ru	common	Индекс УДК (универсальная десятичная классификация)	 Универса́льная десяти́чная классифика́ция — система классификации информации, широко используется во всём мире для систематизации произведений науки, литературы и искусства, периодической печати, различных видов документов и организации картотек. 		
ukbnfcode	BNF code	The British National Formulary (BNF) is a reference book containing the standard list of medicines used in UK prescribing. It gives information on the indications, dosages and side effects for over 70,000 medicines.	False	en	medical			https://www.thedatalab.org/blog/2017/04/prescribing-data-bnf-codes/	other
ukwardcode	Ward code (United Kingdom)	The wards and electoral divisions in the United Kingdom are electoral districts at sub-national level represented by one or more councillors.	False	en	geo			https://en.wikipedia.org/wiki/Wards_and_electoral_divisions_of_the_United_Kingdom	wikipedia
ukwardname	Ward name (United Kingdom)	The wards and electoral divisions in the United Kingdom are electoral districts at sub-national level represented by one or more councillors.	False	en	geo			https://en.wikipedia.org/wiki/Wards_and_electoral_divisions_of_the_United_Kingdom	wikipedia
url	Uniform Resource Locator (URL)	A Uniform Resource Locator (URL), colloquially termed a web address, is a reference to a web resource that specifies its location on a computer network and a mechanism for retrieving it. A URL is a specific type of Uniform Resource Identifier (URI), although many people use the two terms interchangeably	False	common,ru	common			https://en.wikipedia.org/wiki/URL	wikipedia
username	Username	Name of the user or login, commonly used for authentication or user identification purposes	True	common	pii				
uuid	A universally unique identifier (UUID)	A universally unique identifier (UUID) is a 128-bit label used for information in computer systems. The term globally unique identifier (GUID) is also used.	False	common	identifiers			https://en.wikipedia.org/wiki/Universally_unique_identifier	wikipedia
vehiclenumber	Vehicle number	Number of the vehicle (vehicle plate number)	False	common	vehicles				
year	Year	A calendar year in western notation like 2022 or 1913	False	common,ru	datetime			https://en.wikipedia.org/wiki/Year	wikipedia
